"","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","STARS_NA","Sulphates_NA","TotalSulpherDioxide_NA","Alcohol_NA","FreeSulfurDioxide_NA","Chlorides_NA","ResidualSugar_NA","pH_NA"
"1",3,3.2,1.16,-0.98,54.2,-0.567,-204,268,0.9928,3.33,-0.59,9.9,0,8,2,1,1,1,1,0,1,1,1
"2",3,5.8,0.76,0.33,-26,-0.195,87,-283,0.9885,3.07,0.56,11.4,-1,6,1,1,1,1,1,1,1,1,1
"3",0,3.2,0.47,0.3,41.7,-0.058,-160,135,0.9976,1.33,0.29,9.4,0,9,1,0,0,1,1,1,1,1,1
"4",0,5.8,-0.68,3.26,-11.4,0.056,23,65,0.99755,4.12,-0.34,9.7,-2,6,1,0,1,1,1,1,1,1,1
"5",5,17.2,0.37,1.72,-54.7,0.028,24,84,0.9909,2.75,0.18,11.7,1,7,3,1,1,1,1,1,1,1,1
"6",3,13.6,-0.81,1.22,-27.8,0.039,46,11,0.9982,4.16,-1.22,10.6,0,8,1,1,1,1,1,1,1,1,1
"7",4,5.8,-0.91,0.1,47.2,0.044,-238,63,1.02787,3.01,-1.2,6.4,1,7,1,1,0,1,1,1,1,1,1
"8",4,14.6,0.38,1.51,73.7,-0.271,-51,137,1.01893,4.02,1.98,12.1,0,8,3,1,1,1,1,1,1,1,1
"9",5,13.8,-1.07,0.49,53.3,0.342,305,161,0.9937,3.01,0.28,12.1,1,8,3,1,1,1,1,1,1,1,1
"10",7,0.8,0.46,1.94,-8.3,0.356,41,193,0.9928,3.6,0.35,12.2,2,8,4,1,1,1,1,1,1,1,1
"11",0,18.7,-0.2,0.56,1.9,-0.278,-64,60,1.07733,4.83,0.58,8.7,1,12,1,0,1,1,1,1,1,1,1
"12",3,16.9,0.41,1.24,-15.2,0.042,92,293,0.95241,2.86,1.99,9.7,-1,8,2,1,1,1,1,1,1,1,1
"13",4,7.6,0.7,0.38,1.9,-0.06,-252,188,0.98962,3.18,-0.94,12.4,0,7,3,1,1,1,1,1,1,1,1
"14",5,14.6,0.51,1,68.5,0.037,-120,467,1.01275,3.1,1.62,7.8,1,9,2,1,1,1,1,1,1,0,1
"15",0,10.4,0.06,0.78,66.4,0.293,6,10,1.0055,3.9,0.65,11.8,1,11,2,0,1,1,1,1,1,1,1
"16",0,-4.7,-1.25,0.31,1.7,0.079,111,-85,0.99716,3.43,1.12,2.8,1,8,1,0,1,0,1,1,1,1,1
"17",4,7.5,0.36,0.29,1.5,0.046,239,7,0.95322,2.62,0.45,5.8,0,8,1,1,1,1,1,1,1,1,1
"18",4,2.5,0.29,1.62,1.7,0.024,-228,173,0.98923,3.5,0.59,6.4,-1,7,1,1,1,0,1,1,1,1,1
"19",0,3.3,-0.48,0.69,14.2,0.078,12,-174,0.9958,3,-1.21,18.2,0,13,1,1,0,1,1,1,1,1,1
"20",5,6.9,0.21,1.16,6.3,0.042,-203,109,0.99358,3.83,-0.61,3.3,1,8,2,1,0,1,0,1,1,1,1
"21",5,14.3,0.24,0.29,70.1,0.42,56,157,1.02798,4.33,1.68,9.8,1,7,4,1,1,1,1,1,1,1,1
"22",6,6,1.08,0.24,-31,-0.411,12,126,1.02658,4.5,0.46,9,1,7,3,1,0,1,1,0,1,1,1
"23",3,7.1,0.28,-0.96,1.9,0.615,12,86,0.90037,3.15,1.12,9.4,0,8,2,1,1,1,1,1,1,1,1
"24",4,6.8,0.52,-0.63,-22.6,0.128,-194,-72,0.9972,3.27,1.41,4.1,0,8,2,1,1,1,1,1,1,1,1
"25",0,5.1,2.81,0.8,-0.4,0.053,13,-287,1.0039,3.22,0.39,11.5,2,6,1,0,1,1,1,1,1,1,1
"26",0,13,0.43,1.07,57,-0.079,-18,486,0.95632,3.02,-0.83,11.7,-1,7,1,0,1,1,1,1,1,0,1
"27",0,6.9,-0.56,1.36,13.5,0.27,-174,31,0.95191,3.84,-0.48,9.8,1,7,1,0,1,1,1,1,1,1,1
"28",4,7.7,0.79,1.2,-21.4,-0.125,484,-147,1.01184,0.72,-0.26,11.3,-1,8,2,1,1,1,1,1,1,1,1
"29",4,6.4,0.09,0.37,5.4,0.026,27,80,1.03243,3.44,-0.5,12.7,1,8,3,1,1,1,1,1,1,1,1
"30",2,0.5,0.165,0.07,87.1,0.133,-70.5,588,0.94748,3.53,0.53,12.5,0,7,2,0,1,1,1,1,1,0,1
"31",1,7.1,0.21,0.74,123.2,0.413,23,106,0.99405,3.35,0.62,8.8,-1,8,1,1,0,1,1,1,1,1,1
"32",1,12.9,0.35,0.35,-28,0.034,-125,148,0.96527,3.73,0.12,9.8,-1,7,1,0,1,1,1,1,1,1,1
"33",5,7.4,0.13,0.39,4.7,-0.078,165,137,0.96213,3.36,0.56,7.1,0,8,3,1,1,1,1,1,1,1,1
"34",0,6,1.06,0,1.4,0.057,-175,27,0.98917,3.36,0.45,14.5,0,7,1,1,1,1,1,1,1,1,1
"35",5,10.2,0.4,-0.16,0.9,0.048,23,170,0.993,3.22,0.27,8.7,1,7,1,1,1,1,1,1,1,1,1
"36",3,-2.7,0.56,0.22,34.2,0.034,-260,-91,1.00564,4.22,-0.73,9.1,0,7,2,1,1,1,1,1,1,1,1
"37",0,7.5,0.38,0.4,2.3,1.275,5,12,0.99605,2.61,0.55,11.4,0,8,1,0,1,1,1,1,1,1,1
"38",0,7.4,-1.14,-1.14,94,0.924,18,38,0.9933,1.92,0.19,13.6,-1,8,1,0,0,1,1,1,1,1,1
"39",3,7.3,0.28,2.05,12.9,0.049,62,162.5,0.95841,3.43,0.45,4.2,-1,8,2,1,1,1,0,1,1,1,1
"40",0,-9.3,1.665,-0.58,50.4,0.046,31,-281,0.9929,2.29,0.61,6.3,-1,7,2,0,1,1,1,1,1,1,1
"41",4,7.4,0.29,0.13,96,0.044,192,114,0.992,2.21,1.71,12.6,0,8,3,1,1,1,1,1,1,1,1
"42",3,10.4,0.13,0.37,-34.65,0.462,36,105,0.99581,3.05,0.55,10.7,-1,8,2,1,1,1,1,1,1,1,1
"43",4,6.2,0.28,-2.43,28.1,-0.537,-53,289,0.9957,3.44,1.34,9.8,-1,7,4,1,1,1,1,1,1,1,1
"44",4,5.8,0.27,-0.96,3.5,-0.063,26,69,0.94491,1.96,0.5,8.5,0,6,2,1,1,1,1,1,1,1,1
"45",4,8.1,1.3,0.22,6.4,0.056,44,272,0.96467,3.13,1.01,10.1,0,8,4,1,1,1,1,1,1,1,1
"46",3,6.8,-0.22,0.37,34.2,0.349,35,208,0.9773,4.85,-0.55,10.2,0,7,3,1,1,1,1,1,1,1,1
"47",2,7.2,0.615,1.28,1.4,0.068,102,154,1.02237,2.61,-0.12,9.7,0,8,1,0,1,1,1,0,1,1,1
"48",4,4.8,-0.72,-0.03,1.1,0.048,38,180,0.98924,2.76,0.34,11.9,0,5,2,1,1,1,1,1,1,1,1
"49",2,5.6,-0.44,0.05,0.8,0.627,210,30,0.95673,3.36,0.35,9.2,-1,6,1,1,1,1,1,1,1,1,1
"50",6,6.6,0.54,0.21,6.6,-0.045,123,182,0.9986,2.31,0.54,10.4,2,7,3,1,1,1,1,1,1,1,1
"51",4,6.3,0.24,1.77,47.1,0.04,67,348,1.03894,3.88,2.22,9.2,1,7,2,1,0,1,1,1,1,1,1
"52",4,30.5,0.26,0.47,1,-0.283,183,154,0.99659,3.1,0.56,9.8,1,7,2,1,1,1,1,1,1,1,1
"53",3,7.1,-1.1,-1.05,5.1,0.538,197,426,0.99518,3.5,0.92,10.2,-1,8,3,0,1,1,1,1,1,1,1
"54",5,-0.5,0.41,3.22,-11.9,0.463,278,-158,1.00168,3.14,-1.67,14.7,1,7,2,1,1,1,1,1,1,1,1
"55",5,-4.8,1.61,0,2.2,0.087,3,369,0.99378,3.64,0.72,7.1,0,6,1,1,0,1,1,1,1,1,1
"56",6,6.1,0.27,0.33,64.5,0.021,172,117,0.98747,1.52,1.04,12.5,2,7,3,1,1,1,1,1,1,1,0
"57",0,8.4,0.4,-0.78,-59.3,0.05,-136,47,0.9683,2.18,0.77,10.5,1,10,1,0,1,1,1,1,0,1,1
"58",5,12.7,0.24,-0.63,4.9,0.067,277,-21,0.99282,2.78,-0.29,10,1,10,4,1,1,1,1,1,0,1,1
"59",2,20.5,0.94,0.24,66.3,0.448,25,-71,0.99502,3.22,0.44,10.5,-1,7,3,0,1,1,1,1,1,1,1
"60",4,13.6,0.26,0.45,1.5,-0.377,31,98,0.99215,3.02,0.56,9.7,0,9,2,1,1,1,1,1,1,1,1
"61",5,4.9,0.775,0.27,11.75,-0.205,281,118,1.0077,2.19,0.41,14.5,1,5,2,1,0,1,1,1,1,1,1
"62",5,12.1,-1.365,0.32,-25.5,0.051,34,106,1.01429,3.54,2.54,9.2,1,7,3,1,1,1,1,1,1,0,1
"63",4,6.8,0.32,0.21,2.2,0.288,241,68,0.9932,1.4,-0.08,9.4,0,7,2,1,1,1,1,1,1,1,1
"64",0,-2,0.72,0.68,48.6,0.123,6,406,1.04715,4.49,0.58,11.2,2,8,1,0,1,1,1,1,1,1,1
"65",4,6.1,0.41,-0.65,-39.1,-0.427,315,142,0.97492,4.42,0.62,15.8,1,7,2,0,1,1,1,1,1,1,1
"66",0,18.7,0.42,0.46,-13.9,-0.075,154,16,1.06229,3.04,0.74,14.3,0,11,1,0,1,1,1,1,1,1,1
"67",0,10.5,0.29,0.23,-22.5,0.037,-180,99,0.99528,3.08,0.38,8.4,0,7,1,1,1,1,1,1,1,1,1
"68",4,6.6,1.21,-1.81,-12.2,-0.654,-92,457,0.95412,3.36,0.62,10.5,0,7,1,1,1,1,1,1,1,1,1
"69",4,17.3,0.94,0.88,24.8,-0.094,41,113,0.9962,3.42,0.4,9.3,-1,7,2,1,1,1,1,1,1,1,1
"70",5,6.3,0.52,0.21,41.6,0.049,58,486,0.96199,2.71,-0.67,11.3,1,7,3,1,1,1,1,1,1,1,1
"71",3,11.9,-0.2,0.03,16.4,0.064,90,120,0.98832,3.22,1.87,11.6,0,7,2,1,1,1,1,1,1,1,1
"72",3,5.6,0.16,1.77,3.5,-0.563,29,140,0.99048,3.02,0.78,12.5,-1,8,2,1,1,1,1,1,1,0,1
